class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
null,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,7
low_rating,good_rating,null,good_rating,good_rating,DurataLunga,vecchio,good_rating,commedia,italia,0
low_rating,null,null,nice_rating,good_rating,durataMedia,vecchio,good_rating,musicale,usa,0
null,top_rating,low_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,thriller,usa,1
null,null,null,low_rating,low_rating,durataMedia,vecchio,low_rating,musicale,italia,5
null,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,gran_bretagna,5
null,low_rating,nice_rating,low_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,usa,8
low_rating,null,low_rating,low_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,fantasy,usa,8
low_rating,low_rating,null,good_rating,null,DurataLunga,nuovo,good_rating,drammatico,usa,4
low_rating,nice_rating,top_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,drammatico,italia,3
null,top_rating,good_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,thriller,usa,7
low_rating,good_rating,good_rating,good_rating,good_rating,DurataLunga,nuovo,good_rating,sentimentale,usa,3
null,good_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,spionaggio,francia,5
null,good_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,usa,5
good_rating,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,4
null,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,poliziesco,usa,8
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,7
null,good_rating,null,low_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
nice_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,francia,4
low_rating,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,francia,2
nice_rating,nice_rating,top_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,drammatico,francia,6
low_rating,nice_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,sentimentale,usa,2
nice_rating,top_rating,top_rating,top_rating,good_rating,durataMedia,vecchio,nice_rating,western,usa,6
good_rating,good_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,francia,6
low_rating,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,sentimentale,francia,4
low_rating,good_rating,null,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,francia,4
null,good_rating,null,nice_rating,null,durataMedia,vecchio,nice_rating,western,usa,5
low_rating,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,sentimentale,usa,0
null,nice_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
good_rating,low_rating,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,null,null,good_rating,low_rating,durataMedia,vecchio,low_rating,commedia,italia,4
good_rating,null,nice_rating,nice_rating,nice_rating,DurataLunga,nuovo,nice_rating,grottesco,italia,3
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,4
null,good_rating,low_rating,good_rating,low_rating,durataMedia,piu vecchio,nice_rating,drammatico,usa,5
null,nice_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,gran_bretagna,7
low_rating,good_rating,good_rating,nice_rating,low_rating,DurataLunga,vecchio,nice_rating,avventura,usa,8
nice_rating,top_rating,nice_rating,nice_rating,nice_rating,durataMedia,nuovo,nice_rating,drammatico,usa,6
good_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,4
good_rating,nice_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,usa,6
null,low_rating,low_rating,good_rating,good_rating,durataMedia,nuovo,nice_rating,commedia,usa,0
null,null,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,null,good_rating,nice_rating,nice_rating,durataMedia,vecchio,nice_rating,musicale,usa,3
null,low_rating,low_rating,nice_rating,top_rating,durataMedia,vecchio,nice_rating,commedia,italia,3
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
nice_rating,top_rating,top_rating,top_rating,good_rating,DurataLunga,vecchio,nice_rating,drammatico,usa,6
