filmtv_id,titolo_originale,anno,genere,durata,paese,registi,attori,voto_medio,humor,ritmo,impegno,tensione,erotismo
51261,cristiada,2011,drammatico,143,messico,dean_wright,eva_longoria,5.1,1,2,3,2,1
51271,carlo_gesualdo_appunti_per_un_film,2009,drammatico,52,italia,luigi_di_gianni,peppe_barra,6.0,0,2,2,0,0
51287,oblivion,2013,fantasy,124,usa,joseph_kosinski,tom_cruise,6.3,1,3,2,2,1
51288,berberian_sound_studio,2012,horror,95,gran_bretagna,peter_strickland,toby_jones,6.4,1,3,2,3,2
51293,enders_game,2013,fantasy,113,usa,gavin_hood,asa_butterfield,5.4,1,2,1,1,0
51295,no,2012,drammatico,115,cile,pablo_larrain,gael_garcia_bernal,7.5,0,2,4,2,0
51302,noelle,2007,drammatico,90,usa,david_wall,david_wall,5.0,0,2,1,0,0
51318,the_seventh_son,2014,fantasy,102,gran_bretagna,sergei_bodrov,jeff_bridges,4.2,1,2,0,0,0
51319,ruby_sparks,2012,commedia,104,usa,jonathan_dayton,paul_dano,6.5,3,3,3,4,3
51321,moana,2009,biografico,210,italia,alfredo_peyretti,violante_placido,5.2,0,0,1,0,1
51324,space_,1975,avventura,90,gran_bretagna,charles_crichton,martin_landau,7.7,0,2,3,2,1
51333,wild_things_foursome,2010,thriller,92,usa,andy_hurst,jillian_murray,3.2,0,2,0,3,2
51337,mai_per_amore_la_fuga_di_teresa,2012,drammatico,100,italia,margarethe_von_trotta,alessio_boni,5.4,0,2,2,1,0
51366,dalla_parte_giusta,2005,drammatico,90,italia,roberto_leoni,luca_ward,4.5,0,2,1,0,0
51414,across_the_line_the_exodus_of_charlie_wright,2010,thriller,94,usa,r_ellis_frazier,aidan_quinn,4.1,0,3,1,2,0
51424,fuori_dal_giorno,1983,drammatico,81,italia,paolo_bologna,leonardo_treviglio,5.2,2,2,3,2,2
51438,il_commissario_montalbano__la_gita_a_tindari,2001,thriller,100,italia,alberto_sironi,luca_zingaretti,6.5,1,2,2,2,1
51442,tutti_contro_tutti,2013,commedia,100,italia,rolando_ravello,rolando_ravello,6.3,2,3,4,2,0
51459,blue_crush_,2011,drammatico,113,usa,mike_elliott,sasha_jackson,2.8,0,2,0,1,0
51460,litalien,2010,commedia,102,francia,olivier_baroux,kad_merad,7.0,1,1,1,1,1
51466,the_reluctant_fundamentalist,2012,thriller,128,usa,mira_nair,riz_ahmed,6.4,0,2,2,1,0
51472,tortured,2008,thriller,107,usa,nolan_lebovitz,laurence_fishburne,4.6,0,2,0,2,0
51483,tom_and_jerry_in_shiver_me_whiskers,2006,animazione,74,usa,scott_jeralds,mark_hamill,5.8,2,2,0,0,0
51488,th__wolf,2006,azione,107,usa,robert_moresco,james_marsden,3.4,1,2,0,1,0
51518,teresa_manganiello_sui_passi_dellamore,2012,biografico,90,italia,pino_tordiglione,maria_grazia_cucinotta,1.8,0,2,1,1,0
51537,diario_napoletano,1992,documentario,89,italia,francesco_rosi,francesco_rosi,4.8,1,1,2,1,0
51577,terumae_romae,2012,commedia,108,giappone,hideki_takeuchi,hiroshi_abe,6.4,3,3,1,1,1
51579,jui_kuen_ii,1994,azione,102,hong_kong,chialiang_liu,jackie_chan,6.8,0,2,0,2,0
51580,the_terminators,2009,azione,89,usa,xavier_s_puslowski,jeremy_london,1.7,1,2,0,1,0
51582,the_great_waltz,1972,musicale,135,usa,andrew_l_stone,horst_buchholz,3.8,0,2,1,0,0
51584,miele,2013,drammatico,96,italia,valeria_golino,jasmine_trinca,6.8,1,2,4,1,2
51600,the_song_of_silence,2011,drammatico,114,cina,chen_zhuo,li_qiang,6.0,1,2,1,2,1
51603,in_nomine_satan,2012,drammatico,130,italia,emanuele_cerman,federico_palmieri,2.9,0,2,2,1,1
51604,la_jungle,2006,commedia,99,lussemburgo,mathieu_delaporte,patrick_mille,3.9,2,2,1,0,0
51648,prison_break_the_final_break,2009,azione,89,usa,kevin_hooks,dominic_purcell,5.5,0,2,0,2,0
51712,the_muppet_movie,1979,commedia,95,gran_bretagna,james_frawley,jim_henson,7.0,3,2,2,0,0
51729,in_me_non_ce_che_futuro_ritratto_di_adriano_olivetti,2011,documentario,144,italia,michele_fasano,mirella_mastronardi,6.9,0,2,3,1,0
51733,les_hauts_murs,2008,drammatico,95,francia,christian_faure,carole_bouquet,6.1,0,2,3,1,0
51735,jagten,2012,drammatico,106,danimarca,thomas_vinterberg,mads_mikkelsen,7.5,0,2,3,3,1
51736,v_tumane,2012,drammatico,127,germania,sergei_loznitsa,vladimir_svirskiy,7.6,0,2,4,3,0
51743,antiviral,2012,horror,110,canada,brandon_cronenberg,caleb_landry_jones,6.8,0,2,3,1,0
